ID,Nome do Estabelecimento,Categoria,Região / Bairro,Endereço,Contato / Telefone,Link WhatsApp,Link Google Maps,Potencial Semanal (Potes),Status,Melhor Horário para Abordar,Observações Estratégicas
1,Fanáticos Galeteria e Grill,Restaurante / Almoço,Jardim São Cristóvão,"Rua Fé em Deus, 5 - Jd. São Cristóvão",(98) 99611-4871,https://wa.me/5598996114871,https://www.google.com/maps/search/?api=1&query=Fanaticos+Galeteria+Jardim+Sao+Cristovao+Sao+Luis+MA,30 potes,A Contatar,10h30 às 11h30,"Grande fluxo no almoço e entrega. Pote ultragelado no balcão tem saída imediata após prato com frango/churrasco."
2,Canto do Lanche,Lanchonete,Jardim São Cristóvão,"Rua Fé em Deus, 68 - Jd. São Cristóvão",(98) 98476-3620,https://wa.me/5598984763620,https://www.google.com/maps/search/?api=1&query=Canto+do+Lanche+Rua+Fe+em+Deus+Sao+Cristovao+Sao+Luis+MA,20 potes,A Contatar,14h30 às 16h00,"Ponto de bairro com clientela fixa da tarde. Excelente para sobremesa pós-lanche."
3,Padaria Bom Paladar,Panificadora / Padaria,Tirirical / Guajajaras,"Av. Guajajaras, 900 - Sala 5 - Tirirical",(98) 3259-7415,https://wa.me/559832597415,https://www.google.com/maps/search/?api=1&query=Padaria+Bom+Paladar+Avenida+Guajajaras+Tirirical+Sao+Luis+MA,40 potes,A Contatar,09h30 às 10h30,"Freezer de frente pro caixa de padaria vende sobremesa sozinho. Oferecer 10 potes consignados."
4,Layla Restaurante & Self-Service,Restaurante / PF,Jardim São Cristóvão,"Av. Guajajaras, próx. ao São Cristóvão",(98) 99100-0000,https://wa.me/5598991000000,https://www.google.com/maps/search/?api=1&query=Layla+Restaurante+Guajajaras+Sao+Cristovao+Sao+Luis+MA,35 potes,A Contatar,10h30 às 11h15,"Almoço corporativo e trabalhadores da Guajajaras. Proposta de reposição 2x na semana."
5,Juju Lanche e Restaurante,Restaurante / Lanchonete,Jardim São Cristóvão,"Rua José Sarney, Jd. São Cristóvão",(98) 98730-0000,https://wa.me/5598987300000,https://www.google.com/maps/search/?api=1&query=Juju+Lanche+e+Restaurante+Jose+Sarney+Sao+Cristovao+Sao+Luis+MA,20 potes,A Contatar,14h00 às 15h30,"Público local fiel. Apresentar amostra grátis para o proprietário."
6,Restaurante São Cristóvão,Restaurante Caseiro,Jardim São Cristóvão,"Rua do Piquizeiro, Jd. São Cristóvão",(98) 99610-0000,https://wa.me/5598996100000,https://www.google.com/maps/search/?api=1&query=Restaurante+Sao+Cristovao+Piquizeiro+Sao+Luis+MA,25 potes,A Contatar,10h00 às 11h00,"PF tradicional com alta saída de almoço. Complemento perfeito de cardápio."
7,Restaurante Serve-se Bem,Self-Service / Balcão,Cohab Anil I,"Av. Jerônimo de Albuquerque, 125 - Cohab",(98) 3244-2813,https://wa.me/559832442813,https://www.google.com/maps/search/?api=1&query=Restaurante+Serve-se+Bem+Cohab+Anil+Sao+Luis+MA,50 potes,A Contatar,10h00 às 11h00,"Fluxo gigantesco de clientes no almoço a quilo. Colocar display ou placa na saída do caixa."
8,Restaurante Cardápio Brasil,Restaurante & Delivery,Cohatrac II,"Rua Dez, 51 - Qd 22 - Cohatrac II",(98) 98854-0251,https://wa.me/5598988540251,https://www.google.com/maps/search/?api=1&query=Restaurante+Cardapio+Brasil+Cohatrac+Sao+Luis+MA,30 potes,A Contatar,10h30 às 11h30,"Trabalha forte com refeições diárias e entregas. Pote de R$ 5,00 cabe no ticket médio."
9,Locomobrasa Almoço e Grelhados,Restaurante / Grill,Cohatrac,"Tendas do antigo Fast Lanches - Cohatrac",(98) 98800-0000,https://wa.me/5598988000000,https://www.google.com/maps/search/?api=1&query=Locomobrasa+Cohatrac+Sao+Luis+MA,25 potes,A Contatar,11h00 às 11h30,"Buffet livre econômico. Sobremesa gelada fecha com chave de ouro a experiência do cliente."
10,Barraca do Henrique,Barraca de Praia / Quiosque,Praia do Calhau (Litorânea),"Av. Litorânea, Módulo 24 A - Calhau",(98) 98171-7171,https://wa.me/5598981717171,https://www.google.com/maps/search/?api=1&query=Barraca+do+Henrique+Avenida+Litoranea+Calhau+Sao+Luis+MA,60 potes,A Contatar,09h30 às 11h00 (Sábado/Domingo),"Ponto mais movimentado da praia nos fins de semana. Venda direta de R$ 5 a 7 por pote para banhistas."
11,Landruá Mariscos & Bar de Praia,Restaurante de Praia,Av. Litorânea,"Av. Litorânea, 16A - Calhau",(98) 3233-6781,https://wa.me/559832336781,https://www.google.com/maps/search/?api=1&query=Landrua+Mariscos+Avenida+Litoranea+Sao+Luis+MA,40 potes,A Contatar,10h00 às 11h30,"Restaurante conceituado à beira-mar. Sobremesa artesanal harmoniza com frutos do mar."
12,Riomar Bistrô & Lounge,Lounge / Bistrô Beira-Mar,Av. Litorânea,"Av. Litorânea, 13A - Calhau",(98) 99210-2098,https://wa.me/5598992102098,https://www.google.com/maps/search/?api=1&query=Riomar+Bistro+Avenida+Litoranea+Sao+Luis+MA,30 potes,A Contatar,15h00 às 16h30,"Público de pôr do sol e tarde. A textura aerada de gravidade zero atrai o público jovem e famílias."
13,Orla Beach (Barraca do Vizinho),Barraca de Praia,Praia do Calhau,"Av. Litorânea, 8 B - Calhau",(98) 98712-6004,https://wa.me/5598987126004,https://www.google.com/maps/search/?api=1&query=Orla+Beach+Barraca+do+Vizinho+Avenida+Litoranea+Sao+Luis+MA,35 potes,A Contatar,09h30 às 11h00,"Mesas na areia e alto giro nos fins de semana de sol. Produto ultragelado a -18°C perfeito."
14,Panificadora Pão D'Ouro,Padaria / Confeitaria,Cohab,"Av. Jerônimo de Albuquerque, Cohab",(98) 3245-1200,https://wa.me/559832451200,https://www.google.com/maps/search/?api=1&query=Panificadora+Pao+d+Ouro+Cohab+Sao+Luis+MA,35 potes,A Contatar,14h00 às 15h30,"Balcão com grande fluxo de lanche da tarde. O combo maracujá/limão gira rápido."
15,Posto Guajajaras (Conveniência),Loja de Conveniência,São Cristóvão,"Av. Guajajaras, São Cristóvão",(98) 3259-0000,https://wa.me/559832590000,https://www.google.com/maps/search/?api=1&query=Posto+Guajajaras+Sao+Cristovao+Sao+Luis+MA,25 potes,A Contatar,14h00 às 16h00,"Conveniência 24h. Sobremesa rápida para quem abastece ou compra bebidas."
